tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;798.03;car_0;;1;736.00
2302.00;E5_0;300.00;12.88;164.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.1;2138.00;f_0.1;0;10003.87;0.97;0.00;1392.48;car_0;;2;1306.00
2304.00;E5_0;300.00;12.92;328.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.2;1976.00;f_0.2;0;10003.87;1.01;0.00;1253.41;car_0;;2;1147.00
2306.00;E5_0;300.00;13.22;491.00;0.09;E0_0;7.20;0.00;tripinfo_f_0.3;1815.00;f_0.3;0;10003.87;1.04;0.00;1092.32;car_0;;3;980.00
2308.00;E5_0;300.00;13.66;655.00;0.46;E0_0;7.20;0.00;tripinfo_f_0.4;1653.00;f_0.4;0;10003.87;1.02;0.00;930.90;car_0;;3;838.00
3092.00;E5_0;300.00;11.83;819.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.5;2273.00;f_0.5;0;10003.87;0.92;0.00;1484.84;car_0;;2;1400.00
3094.00;E5_0;300.00;13.41;982.00;0.18;E0_0;7.20;0.00;tripinfo_f_0.6;2112.00;f_0.6;0;10003.87;1.02;0.00;1390.17;car_0;;2;1240.00
3096.00;E5_0;300.00;12.98;1146.00;0.55;E0_0;7.20;0.00;tripinfo_f_0.7;1950.00;f_0.7;0;10003.87;0.94;0.00;1184.42;car_0;;2;1075.00
3098.00;E5_0;300.00;12.84;1310.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.8;1788.00;f_0.8;0;10003.87;0.97;0.00;1043.05;car_0;;2;907.00
3858.00;E5_0;300.00;12.35;1473.00;0.28;E0_0;7.20;0.00;tripinfo_f_0.9;2385.00;f_0.9;0;10003.87;0.93;0.00;1606.99;car_0;;3;1513.00
3860.00;E5_0;300.00;13.49;1637.00;0.64;E0_0;7.20;0.00;tripinfo_f_0.10;2223.00;f_0.10;0;10003.87;1.05;0.00;1500.28;car_0;;2;1365.00
3862.00;E5_0;300.00;13.60;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;2062.00;f_0.11;0;10003.87;1.01;0.00;1339.16;car_0;;2;1203.00
3864.00;E5_0;300.00;13.58;1964.00;0.37;E0_0;7.20;0.00;tripinfo_f_0.12;1900.00;f_0.12;0;10003.87;1.02;0.00;1177.35;car_0;;2;1040.00
3866.00;E5_0;300.00;12.83;2128.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.13;1738.00;f_0.13;0;10003.87;1.06;0.00;1016.29;car_0;;3;874.00
3868.00;E5_0;300.00;12.76;2291.00;0.10;E0_0;7.20;0.00;tripinfo_f_0.14;1577.00;f_0.14;0;10003.87;1.00;0.00;851.98;car_0;;1;749.00
4614.00;E5_0;300.00;13.03;2455.00;0.46;E0_0;7.20;0.00;tripinfo_f_0.15;2159.00;f_0.15;0;10003.87;0.96;0.00;1409.16;car_0;;2;1333.00
4627.00;E5_0;300.00;12.71;2619.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.16;2008.00;f_0.16;0;10003.87;0.94;0.00;1239.11;car_0;;2;1155.00
4629.00;E5_0;300.00;13.42;2782.00;0.19;E0_0;7.20;0.00;tripinfo_f_0.17;1847.00;f_0.17;0;10003.87;0.97;0.00;1102.95;car_0;;2;992.00
4631.00;E5_0;300.00;12.95;2946.00;0.55;E0_0;7.20;0.00;tripinfo_f_0.18;1685.00;f_0.18;0;10003.87;0.97;0.00;939.54;car_0;;2;825.00
4633.00;E5_0;300.00;13.65;3110.00;0.92;E0_0;7.20;0.00;tripinfo_f_0.19;1523.00;f_0.19;0;10003.87;1.08;0.00;801.01;car_0;;1;706.00
5370.00;E5_0;300.00;12.60;3273.00;0.28;E0_0;7.20;0.00;tripinfo_f_0.20;2097.00;f_0.20;0;10003.87;1.01;0.00;1375.70;car_0;;2;1293.00
5373.00;E5_0;300.00;12.76;3437.00;0.64;E0_0;7.20;0.00;tripinfo_f_0.21;1936.00;f_0.21;0;10003.87;1.01;0.00;1214.48;car_0;;2;1128.00
5382.00;E5_0;300.00;12.84;3600.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.22;1782.00;f_0.22;0;10003.87;0.99;0.00;1051.27;car_0;;3;962.00
