tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;797.11;car_0;;1;736.00
2301.00;E5_0;300.00;13.46;120.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2181.00;f_0.1;0;10003.87;0.97;0.00;1436.48;car_0;;4;1355.00
2303.00;E5_0;300.00;13.04;240.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2063.00;f_0.2;0;10003.87;1.01;0.00;1341.48;car_0;;3;1234.00
2305.00;E5_0;300.00;13.66;360.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1945.00;f_0.3;0;10003.87;1.04;0.00;1222.90;car_0;;3;1114.00
2307.00;E5_0;300.00;13.39;480.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1827.00;f_0.4;0;10003.87;1.02;0.00;1104.83;car_0;;2;996.00
3094.00;E5_0;300.00;11.83;600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2494.00;f_0.5;0;10003.87;0.92;0.00;1705.16;car_0;;3;1611.00
3096.00;E5_0;300.00;13.41;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2376.00;f_0.6;0;10003.87;1.02;0.00;1653.35;car_0;;3;1491.00
3098.00;E5_0;300.00;12.98;840.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2258.00;f_0.7;0;10003.87;0.94;0.00;1491.92;car_0;;2;1382.00
3100.00;E5_0;300.00;12.84;960.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2140.00;f_0.8;0;10003.87;0.97;0.00;1394.31;car_0;;2;1262.00
3858.00;E5_0;300.00;12.16;1080.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;2778.00;f_0.9;0;10003.87;0.93;0.00;2000.08;car_0;;3;1905.00
3860.00;E5_0;300.00;13.19;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;2660.00;f_0.10;0;10003.87;1.05;0.00;1937.82;car_0;;5;1786.00
3861.00;E5_0;300.00;13.34;1320.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;2541.00;f_0.11;0;10003.87;1.01;0.00;1819.05;car_0;;3;1663.00
