tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1521.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1521.00;f_0.0;0;10003.87;1.03;0.00;798.71;car_0;;1;737.00
2299.00;E5_0;300.00;13.28;240.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2059.00;f_0.1;0;10003.87;0.97;0.00;1314.25;car_0;;3;1238.00
2301.00;E5_0;300.00;13.15;480.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;1821.00;f_0.2;0;10003.87;1.01;0.00;1099.12;car_0;;2;1003.00
2303.00;E5_0;300.00;12.95;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1583.00;f_0.3;0;10003.87;1.04;0.00;860.68;car_0;;2;755.00
2305.00;E5_0;300.00;13.28;960.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1345.00;f_0.4;0;10003.87;1.02;0.00;622.61;car_0;;1;543.00
3094.00;E5_0;300.00;12.38;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;1894.00;f_0.5;0;10003.87;0.92;0.00;1104.77;car_0;;2;1012.00
3096.00;E5_0;300.00;13.20;1440.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;1656.00;f_0.6;0;10003.87;1.02;0.00;933.92;car_0;;3;779.00
3850.00;E5_0;300.00;12.65;1680.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2170.00;f_0.7;0;10003.87;0.94;0.00;1405.29;car_0;;2;1328.00
3852.00;E5_0;300.00;13.32;1920.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;1932.00;f_0.8;0;10003.87;0.97;0.00;1187.13;car_0;;2;1087.00
3862.00;E5_0;300.00;11.77;2160.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;1702.00;f_0.9;0;10003.87;0.93;0.00;924.44;car_0;;2;845.00
3864.00;E5_0;300.00;13.18;2400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;1464.00;f_0.10;0;10003.87;1.05;0.00;742.02;car_0;;2;645.00
3866.00;E5_0;300.00;13.03;2640.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;1226.00;f_0.11;0;10003.87;1.01;0.00;504.01;car_0;;1;406.00
4601.00;E5_0;300.00;13.72;2880.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;1721.00;f_0.12;0;10003.87;1.02;0.00;998.43;car_0;;2;919.00
4603.00;E5_0;300.00;12.78;3120.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;1483.00;f_0.13;0;10003.87;1.06;0.00;761.07;car_0;;1;694.00
4609.00;E5_0;300.00;12.53;3360.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;1249.00;f_0.14;0;10003.87;1.00;0.00;524.59;car_0;;1;457.00
