tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;796.95;car_0;;1;736.00
2302.00;E5_0;300.00;13.28;190.00;0.53;E0_0;7.20;0.00;tripinfo_f_0.1;2112.00;f_0.1;0;10003.87;0.97;0.00;1366.83;car_0;;2;1289.00
2304.00;E5_0;300.00;13.15;379.00;0.05;E0_0;7.20;0.00;tripinfo_f_0.2;1925.00;f_0.2;0;10003.87;1.01;0.00;1203.09;car_0;;2;1100.00
2306.00;E5_0;300.00;12.95;569.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.3;1737.00;f_0.3;0;10003.87;1.04;0.00;1014.55;car_0;;2;905.00
2308.00;E5_0;300.00;13.28;758.00;0.10;E0_0;7.20;0.00;tripinfo_f_0.4;1550.00;f_0.4;0;10003.87;1.02;0.00;827.65;car_0;;1;745.00
3093.00;E5_0;300.00;12.30;948.00;0.63;E0_0;7.20;0.00;tripinfo_f_0.5;2145.00;f_0.5;0;10003.87;0.92;0.00;1356.32;car_0;;2;1266.00
3095.00;E5_0;300.00;13.32;1137.00;0.16;E0_0;7.20;0.00;tripinfo_f_0.6;1958.00;f_0.6;0;10003.87;1.02;0.00;1236.10;car_0;;2;1079.00
3097.00;E5_0;300.00;12.97;1327.00;0.68;E0_0;7.20;0.00;tripinfo_f_0.7;1770.00;f_0.7;0;10003.87;0.94;0.00;1004.65;car_0;;3;892.00
3842.00;E5_0;300.00;13.38;1516.00;0.21;E0_0;7.20;0.00;tripinfo_f_0.8;2326.00;f_0.8;0;10003.87;0.97;0.00;1580.91;car_0;;2;1497.00
3862.00;E5_0;300.00;12.11;1706.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.9;2156.00;f_0.9;0;10003.87;0.93;0.00;1378.92;car_0;;2;1296.00
3864.00;E5_0;300.00;12.40;1895.00;0.26;E0_0;7.20;0.00;tripinfo_f_0.10;1969.00;f_0.10;0;10003.87;1.05;0.00;1246.84;car_0;;2;1107.00
3866.00;E5_0;300.00;12.66;2085.00;0.79;E0_0;7.20;0.00;tripinfo_f_0.11;1781.00;f_0.11;0;10003.87;1.01;0.00;1059.12;car_0;;3;916.00
4603.00;E5_0;300.00;13.53;2274.00;0.31;E0_0;7.20;0.00;tripinfo_f_0.12;2329.00;f_0.12;0;10003.87;1.02;0.00;1606.80;car_0;;3;1474.00
4606.00;E5_0;300.00;13.47;2464.00;0.84;E0_0;7.20;0.00;tripinfo_f_0.13;2142.00;f_0.13;0;10003.87;1.06;0.00;1420.06;car_0;;3;1327.00
4608.00;E5_0;300.00;13.29;2653.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.14;1955.00;f_0.14;0;10003.87;1.00;0.00;1229.57;car_0;;2;1136.00
4623.00;E5_0;300.00;12.12;2843.00;0.89;E0_0;7.20;0.00;tripinfo_f_0.15;1780.00;f_0.15;0;10003.87;0.96;0.00;1031.25;car_0;;2;948.00
5394.00;E5_0;300.00;12.74;3032.00;0.42;E0_0;7.20;0.00;tripinfo_f_0.16;2362.00;f_0.16;0;10003.87;0.94;0.00;1593.30;car_0;;3;1498.00
5396.00;E5_0;300.00;13.07;3222.00;0.94;E0_0;7.20;0.00;tripinfo_f_0.17;2174.00;f_0.17;0;10003.87;0.97;0.00;1430.40;car_0;;2;1344.00
5398.00;E5_0;300.00;13.41;3411.00;0.47;E0_0;7.20;0.00;tripinfo_f_0.18;1987.00;f_0.18;0;10003.87;0.97;0.00;1241.30;car_0;;2;1150.00
