tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1517.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1517.00;f_0.0;0;10003.87;1.03;0.00;795.05;car_0;;1;736.00
2301.00;E5_0;300.00;13.46;129.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.1;2172.00;f_0.1;0;10003.87;0.97;0.00;1427.14;car_0;;2;1347.00
2303.00;E5_0;300.00;13.04;258.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.2;2045.00;f_0.2;0;10003.87;1.01;0.00;1323.18;car_0;;2;1215.00
2305.00;E5_0;300.00;13.66;386.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.3;1919.00;f_0.3;0;10003.87;1.04;0.00;1196.81;car_0;;2;1089.00
2307.00;E5_0;300.00;13.39;515.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.4;1792.00;f_0.4;0;10003.87;1.02;0.00;1070.32;car_0;;2;961.00
3093.00;E5_0;300.00;11.72;643.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.5;2450.00;f_0.5;0;10003.87;0.92;0.00;1661.19;car_0;;3;1568.00
3095.00;E5_0;300.00;13.00;772.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.6;2323.00;f_0.6;0;10003.87;1.02;0.00;1600.31;car_0;;2;1454.00
3097.00;E5_0;300.00;12.83;900.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2197.00;f_0.7;0;10003.87;0.94;0.00;1431.10;car_0;;3;1320.00
3099.00;E5_0;300.00;13.01;1029.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.8;2070.00;f_0.8;0;10003.87;0.97;0.00;1324.34;car_0;;2;1193.00
3101.00;E5_0;300.00;12.56;1158.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.9;1943.00;f_0.9;0;10003.87;0.93;0.00;1165.65;car_0;;3;1062.00
3830.00;E5_0;300.00;13.71;1286.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.10;2544.00;f_0.10;0;10003.87;1.05;0.00;1822.16;car_0;;4;1723.00
3832.00;E5_0;300.00;13.62;1415.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.11;2417.00;f_0.11;0;10003.87;1.01;0.00;1694.78;car_0;;3;1591.00
3834.00;E5_0;300.00;12.99;1543.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.12;2291.00;f_0.12;0;10003.87;1.02;0.00;1569.35;car_0;;3;1483.00
3836.00;E5_0;300.00;13.65;1672.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.13;2164.00;f_0.13;0;10003.87;1.06;0.00;1441.95;car_0;;2;1358.00
3842.00;E5_0;300.00;13.39;1800.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.14;2042.00;f_0.14;0;10003.87;1.00;0.00;1317.46;car_0;;2;1234.00
4613.00;E5_0;300.00;12.25;1929.00;0.44;E0_0;7.20;0.00;tripinfo_f_0.15;2684.00;f_0.15;0;10003.87;0.96;0.00;1934.70;car_0;;4;1843.00
4628.00;E5_0;300.00;12.56;2058.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.16;2570.00;f_0.16;0;10003.87;0.94;0.00;1801.16;car_0;;3;1708.00
4630.00;E5_0;300.00;12.31;2186.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.17;2444.00;f_0.17;0;10003.87;0.97;0.00;1699.89;car_0;;3;1576.00
4631.00;E5_0;300.00;13.41;2315.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.18;2316.00;f_0.18;0;10003.87;0.97;0.00;1570.37;car_0;;3;1460.00
5371.00;E5_0;300.00;13.82;2443.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.19;2928.00;f_0.19;0;10003.87;1.08;0.00;2206.02;car_0;;4;2084.00
5373.00;E5_0;300.00;13.15;2572.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.20;2801.00;f_0.20;0;10003.87;1.01;0.00;2079.14;car_0;;3;1980.00
5375.00;E5_0;300.00;13.28;2700.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.21;2675.00;f_0.21;0;10003.87;1.01;0.00;1953.13;car_0;;4;1852.00
5383.00;E5_0;300.00;12.74;2829.00;0.44;E0_0;7.20;0.00;tripinfo_f_0.22;2554.00;f_0.22;0;10003.87;0.99;0.00;1823.06;car_0;;5;1728.00
5401.00;E5_0;300.00;12.26;2958.00;0.87;E0_0;7.20;0.00;tripinfo_f_0.23;2443.00;f_0.23;0;10003.87;0.94;0.00;1678.39;car_0;;4;1588.00
6177.00;E5_0;300.00;12.07;3086.00;0.30;E0_0;7.20;0.00;tripinfo_f_0.24;3091.00;f_0.24;0;10003.87;0.91;0.00;2300.25;car_0;;3;2210.00
6179.00;E5_0;300.00;12.75;3215.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.25;2964.00;f_0.25;0;10003.87;0.94;0.00;2192.85;car_0;;4;2077.00
6181.00;E5_0;300.00;13.24;3343.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.26;2838.00;f_0.26;0;10003.87;0.96;0.00;2084.33;car_0;;3;1945.00
6182.00;E5_0;300.00;13.40;3472.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.27;2710.00;f_0.27;0;10003.87;0.97;0.00;1969.68;car_0;;5;1820.00
6184.00;E5_0;300.00;12.89;3600.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.28;2584.00;f_0.28;0;10003.87;1.07;0.00;1862.14;car_0;;7;1691.00
