tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;798.15;car_0;;1;736.00
2300.00;E5_0;300.00;13.37;328.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.1;1972.00;f_0.1;0;10003.87;0.97;0.00;1227.40;car_0;;5;1148.00
2302.00;E5_0;300.00;12.89;655.00;0.45;E0_0;7.20;0.00;tripinfo_f_0.2;1647.00;f_0.2;0;10003.87;1.01;0.00;925.08;car_0;;2;823.00
2304.00;E5_0;300.00;13.39;982.00;0.18;E0_0;7.20;0.00;tripinfo_f_0.3;1322.00;f_0.3;0;10003.87;1.04;0.00;599.59;car_0;;1;525.00
2306.00;E5_0;300.00;12.73;1310.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.4;996.00;f_0.4;0;10003.87;1.02;0.00;274.10;car_0;;1;197.00
3864.00;E5_0;300.00;11.85;1637.00;0.64;E0_0;7.20;0.00;tripinfo_f_0.5;2227.00;f_0.5;0;10003.87;0.92;0.00;1438.49;car_0;;2;1357.00
3866.00;E5_0;300.00;13.26;1964.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.6;1902.00;f_0.6;0;10003.87;1.02;0.00;1179.83;car_0;;2;1029.00
3868.00;E5_0;300.00;12.21;2291.00;0.09;E0_0;7.20;0.00;tripinfo_f_0.7;1577.00;f_0.7;0;10003.87;0.94;0.00;812.06;car_0;;1;715.00
4609.00;E5_0;300.00;13.29;2619.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.8;1990.00;f_0.8;0;10003.87;0.97;0.00;1245.25;car_0;;2;1171.00
4631.00;E5_0;300.00;11.72;2946.00;0.54;E0_0;7.20;0.00;tripinfo_f_0.9;1685.00;f_0.9;0;10003.87;0.93;0.00;907.49;car_0;;3;825.00
4633.00;E5_0;300.00;13.06;3273.00;0.27;E0_0;7.20;0.00;tripinfo_f_0.10;1360.00;f_0.10;0;10003.87;1.05;0.00;637.73;car_0;;3;539.00
