tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;797.37;car_0;;1;736.00
2300.00;E5_0;300.00;13.46;157.00;0.48;E0_0;7.20;0.00;tripinfo_f_0.1;2143.00;f_0.1;0;10003.87;0.97;0.00;1398.55;car_0;;2;1320.00
2302.00;E5_0;300.00;13.04;314.00;0.96;E0_0;7.20;0.00;tripinfo_f_0.2;1988.00;f_0.2;0;10003.87;1.01;0.00;1266.53;car_0;;3;1166.00
2304.00;E5_0;300.00;13.66;470.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.3;1834.00;f_0.3;0;10003.87;1.04;0.00;1112.71;car_0;;2;1011.00
2306.00;E5_0;300.00;13.39;627.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.4;1679.00;f_0.4;0;10003.87;1.02;0.00;956.97;car_0;;3;849.00
3094.00;E5_0;300.00;11.72;783.00;0.39;E0_0;7.20;0.00;tripinfo_f_0.5;2311.00;f_0.5;0;10003.87;0.92;0.00;1522.56;car_0;;2;1441.00
3096.00;E5_0;300.00;13.00;940.00;0.87;E0_0;7.20;0.00;tripinfo_f_0.6;2156.00;f_0.6;0;10003.87;1.02;0.00;1433.99;car_0;;3;1287.00
3098.00;E5_0;300.00;12.83;1096.00;0.35;E0_0;7.20;0.00;tripinfo_f_0.7;2002.00;f_0.7;0;10003.87;0.94;0.00;1236.74;car_0;;2;1129.00
3100.00;E5_0;300.00;13.01;1253.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.8;1847.00;f_0.8;0;10003.87;0.97;0.00;1101.25;car_0;;2;968.00
3102.00;E5_0;300.00;12.56;1409.00;0.30;E0_0;7.20;0.00;tripinfo_f_0.9;1693.00;f_0.9;0;10003.87;0.93;0.00;915.09;car_0;;3;816.00
3830.00;E5_0;300.00;13.81;1566.00;0.78;E0_0;7.20;0.00;tripinfo_f_0.10;2264.00;f_0.10;0;10003.87;1.05;0.00;1541.49;car_0;;2;1455.00
3834.00;E5_0;300.00;13.62;1722.00;0.26;E0_0;7.20;0.00;tripinfo_f_0.11;2112.00;f_0.11;0;10003.87;1.01;0.00;1390.39;car_0;;2;1303.00
3837.00;E5_0;300.00;13.36;1879.00;0.74;E0_0;7.20;0.00;tripinfo_f_0.12;1958.00;f_0.12;0;10003.87;1.02;0.00;1236.34;car_0;;3;1146.00
3839.00;E5_0;300.00;13.66;2035.00;0.21;E0_0;7.20;0.00;tripinfo_f_0.13;1804.00;f_0.13;0;10003.87;1.06;0.00;1082.66;car_0;;2;989.00
3842.00;E5_0;300.00;13.39;2192.00;0.69;E0_0;7.20;0.00;tripinfo_f_0.14;1650.00;f_0.14;0;10003.87;1.00;0.00;924.38;car_0;;3;837.00
4612.00;E5_0;300.00;12.82;2348.00;0.17;E0_0;7.20;0.00;tripinfo_f_0.15;2264.00;f_0.15;0;10003.87;0.96;0.00;1514.96;car_0;;2;1436.00
4626.00;E5_0;300.00;12.95;2505.00;0.65;E0_0;7.20;0.00;tripinfo_f_0.16;2121.00;f_0.16;0;10003.87;0.94;0.00;1352.17;car_0;;2;1271.00
4628.00;E5_0;300.00;12.76;2661.00;0.13;E0_0;7.20;0.00;tripinfo_f_0.17;1967.00;f_0.17;0;10003.87;0.97;0.00;1223.62;car_0;;2;1113.00
4630.00;E5_0;300.00;12.61;2818.00;0.60;E0_0;7.20;0.00;tripinfo_f_0.18;1812.00;f_0.18;0;10003.87;0.97;0.00;1065.99;car_0;;2;957.00
4632.00;E5_0;300.00;12.61;2974.00;0.08;E0_0;7.20;0.00;tripinfo_f_0.19;1658.00;f_0.19;0;10003.87;1.08;0.00;935.78;car_0;;2;828.00
5373.00;E5_0;300.00;12.65;3131.00;0.56;E0_0;7.20;0.00;tripinfo_f_0.20;2242.00;f_0.20;0;10003.87;1.01;0.00;1519.90;car_0;;2;1434.00
5375.00;E5_0;300.00;12.60;3287.00;0.04;E0_0;7.20;0.00;tripinfo_f_0.21;2088.00;f_0.21;0;10003.87;1.01;0.00;1365.66;car_0;;2;1278.00
5382.00;E5_0;300.00;13.09;3444.00;0.52;E0_0;7.20;0.00;tripinfo_f_0.22;1938.00;f_0.22;0;10003.87;0.99;0.00;1206.73;car_0;;2;1117.00
