tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;798.33;car_0;;1;736.00
2301.00;E5_0;300.00;12.88;86.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.1;2215.00;f_0.1;0;10003.87;0.97;0.00;1469.48;car_0;;2;1391.00
2303.00;E5_0;300.00;12.92;172.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.2;2131.00;f_0.2;0;10003.87;1.01;0.00;1409.05;car_0;;3;1301.00
2304.00;E5_0;300.00;12.95;258.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.3;2046.00;f_0.3;0;10003.87;1.04;0.00;1324.36;car_0;;3;1218.00
2306.00;E5_0;300.00;13.28;343.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.4;1963.00;f_0.4;0;10003.87;1.02;0.00;1241.17;car_0;;3;1131.00
3093.00;E5_0;300.00;11.76;429.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.5;2664.00;f_0.5;0;10003.87;0.92;0.00;1875.43;car_0;;4;1783.00
3095.00;E5_0;300.00;12.31;515.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.6;2580.00;f_0.6;0;10003.87;1.02;0.00;1858.14;car_0;;3;1698.00
3097.00;E5_0;300.00;12.74;600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2497.00;f_0.7;0;10003.87;0.94;0.00;1731.41;car_0;;4;1610.00
3099.00;E5_0;300.00;12.58;686.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.8;2413.00;f_0.8;0;10003.87;0.97;0.00;1668.12;car_0;;5;1526.00
3101.00;E5_0;300.00;12.78;772.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.9;2329.00;f_0.9;0;10003.87;0.93;0.00;1551.07;car_0;;2;1448.00
3830.00;E5_0;300.00;13.72;858.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.10;2972.00;f_0.10;0;10003.87;1.05;0.00;2250.06;car_0;;4;2154.00
3833.00;E5_0;300.00;12.86;943.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.11;2890.00;f_0.11;0;10003.87;1.01;0.00;2167.76;car_0;;4;2068.00
3835.00;E5_0;300.00;13.44;1029.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.12;2806.00;f_0.12;0;10003.87;1.02;0.00;2084.71;car_0;;4;1983.00
3838.00;E5_0;300.00;12.60;1115.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.13;2723.00;f_0.13;0;10003.87;1.06;0.00;2001.84;car_0;;5;1899.00
3841.00;E5_0;300.00;12.61;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;2641.00;f_0.14;0;10003.87;1.00;0.00;1915.83;car_0;;6;1820.00
4616.00;E5_0;300.00;12.18;1286.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.15;3330.00;f_0.15;0;10003.87;0.96;0.00;2580.41;car_0;;6;2472.00
4628.00;E5_0;300.00;12.38;1372.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.16;3256.00;f_0.16;0;10003.87;0.94;0.00;2487.46;car_0;;6;2372.00
4630.00;E5_0;300.00;12.77;1458.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.17;3172.00;f_0.17;0;10003.87;0.97;0.00;2428.17;car_0;;7;2286.00
4632.00;E5_0;300.00;12.60;1543.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.18;3089.00;f_0.18;0;10003.87;0.97;0.00;2343.07;car_0;;6;2212.00
4634.00;E5_0;300.00;12.46;1629.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.19;3005.00;f_0.19;0;10003.87;1.08;0.00;2283.59;car_0;;6;2161.00
5370.00;E5_0;300.00;13.15;1715.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.20;3655.00;f_0.20;0;10003.87;1.01;0.00;2932.66;car_0;;10;2821.00
5372.00;E5_0;300.00;13.28;1800.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.21;3572.00;f_0.21;0;10003.87;1.01;0.00;2850.01;car_0;;7;2735.00
5381.00;E5_0;300.00;12.67;1886.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.22;3495.00;f_0.22;0;10003.87;0.99;0.00;2764.67;car_0;;10;2650.00
6162.00;E5_0;300.00;12.40;1972.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.23;4190.00;f_0.23;0;10003.87;0.94;0.00;3426.59;car_0;;10;3303.00
6180.00;E5_0;300.00;12.66;2058.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.24;4122.00;f_0.24;0;10003.87;0.91;0.00;3331.30;car_0;;10;3211.00
6182.00;E5_0;300.00;11.84;2143.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.25;4039.00;f_0.25;0;10003.87;0.94;0.00;3268.26;car_0;;10;3114.00
6184.00;E5_0;300.00;12.68;2229.00;0.44;E0_0;7.20;0.00;tripinfo_f_0.26;3955.00;f_0.26;0;10003.87;0.96;0.00;3201.93;car_0;;11;3028.00
6186.00;E5_0;300.00;12.83;2315.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.27;3871.00;f_0.27;0;10003.87;0.97;0.00;3129.93;car_0;;10;2944.00
6909.00;E5_0;300.00;13.14;2400.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.28;4509.00;f_0.28;0;10003.87;1.07;0.00;3787.52;car_0;;8;3657.00
6928.00;E5_0;300.00;12.66;2486.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.29;4442.00;f_0.29;0;10003.87;0.97;0.00;3695.08;car_0;;9;3562.00
6930.00;E5_0;300.00;13.69;2572.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.30;4358.00;f_0.30;0;10003.87;1.09;0.00;3636.70;car_0;;9;3477.00
6932.00;E5_0;300.00;12.78;2658.00;0.87;E0_0;7.20;0.00;tripinfo_f_0.31;4274.00;f_0.31;0;10003.87;1.08;0.00;3552.57;car_0;;11;3392.00
6934.00;E5_0;300.00;13.30;2743.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.32;4191.00;f_0.32;0;10003.87;1.00;0.00;3469.06;car_0;;9;3319.00
7680.00;E5_0;300.00;13.77;2829.00;0.44;E0_0;7.20;0.00;tripinfo_f_0.33;4851.00;f_0.33;0;10003.87;1.09;0.00;4129.93;car_0;;12;3980.00
7688.00;E5_0;300.00;13.77;2915.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.34;4773.00;f_0.34;0;10003.87;1.00;0.00;4048.74;car_0;;11;3891.00
7690.00;E5_0;300.00;13.47;3000.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.35;4690.00;f_0.35;0;10003.87;1.01;0.00;3968.34;car_0;;12;3807.00
7697.00;E5_0;300.00;13.32;3086.00;0.30;E0_0;7.20;0.00;tripinfo_f_0.36;4611.00;f_0.36;0;10003.87;0.99;0.00;3879.06;car_0;;14;3719.00
8448.00;E5_0;300.00;13.78;3172.00;0.58;E0_0;7.20;0.00;tripinfo_f_0.37;5276.00;f_0.37;0;10003.87;1.09;0.00;4553.90;car_0;;15;4409.00
8451.00;E5_0;300.00;13.30;3258.00;0.87;E0_0;7.20;0.00;tripinfo_f_0.38;5193.00;f_0.38;0;10003.87;1.05;0.00;4471.11;car_0;;16;4317.00
8473.00;E5_0;300.00;12.74;3343.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.39;5130.00;f_0.39;0;10003.87;0.95;0.00;4369.79;car_0;;13;4217.00
8475.00;E5_0;300.00;13.81;3429.00;0.44;E0_0;7.20;0.00;tripinfo_f_0.40;5046.00;f_0.40;0;10003.87;1.02;0.00;4324.47;car_0;;14;4131.00
8477.00;E5_0;300.00;12.74;3515.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.41;4962.00;f_0.41;0;10003.87;0.98;0.00;4224.45;car_0;;10;4063.00
9219.00;E5_0;300.00;13.36;3600.00;0.01;E0_0;7.20;0.00;tripinfo_f_0.42;5619.00;f_0.42;0;10003.87;1.05;0.00;4897.72;car_0;;12;4723.00
