tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1518.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1518.00;f_0.0;0;10003.87;1.03;0.00;796.06;car_0;;1;736.00
2302.00;E5_0;300.00;13.46;200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2102.00;f_0.1;0;10003.87;0.97;0.00;1357.76;car_0;;2;1279.00
2304.00;E5_0;300.00;13.04;400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;1904.00;f_0.2;0;10003.87;1.01;0.00;1181.99;car_0;;3;1075.00
2306.00;E5_0;300.00;13.66;600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1706.00;f_0.3;0;10003.87;1.04;0.00;984.65;car_0;;3;873.00
2308.00;E5_0;300.00;13.39;800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1508.00;f_0.4;0;10003.87;1.02;0.00;786.24;car_0;;1;701.00
3094.00;E5_0;300.00;11.85;1000.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2094.00;f_0.5;0;10003.87;0.92;0.00;1305.38;car_0;;3;1218.00
3096.00;E5_0;300.00;13.26;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;1896.00;f_0.6;0;10003.87;1.02;0.00;1173.63;car_0;;2;1018.00
3098.00;E5_0;300.00;12.21;1400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;1698.00;f_0.7;0;10003.87;0.94;0.00;932.24;car_0;;2;817.00
3842.00;E5_0;300.00;12.51;1600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2242.00;f_0.8;0;10003.87;0.97;0.00;1496.40;car_0;;2;1421.00
3862.00;E5_0;300.00;11.80;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;2062.00;f_0.9;0;10003.87;0.93;0.00;1284.57;car_0;;2;1201.00
3864.00;E5_0;300.00;12.62;2000.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;1864.00;f_0.10;0;10003.87;1.05;0.00;1141.99;car_0;;2;1000.00
3866.00;E5_0;300.00;12.72;2200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;1666.00;f_0.11;0;10003.87;1.01;0.00;944.32;car_0;;2;802.00
4599.00;E5_0;300.00;13.66;2400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;2199.00;f_0.12;0;10003.87;1.02;0.00;1477.73;car_0;;2;1392.00
4602.00;E5_0;300.00;13.65;2600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;2002.00;f_0.13;0;10003.87;1.06;0.00;1280.19;car_0;;2;1194.00
4609.00;E5_0;300.00;12.87;2800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;1809.00;f_0.14;0;10003.87;1.00;0.00;1084.21;car_0;;2;999.00
4624.00;E5_0;300.00;12.86;3000.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.15;1624.00;f_0.15;0;10003.87;0.96;0.00;874.38;car_0;;3;790.00
5394.00;E5_0;300.00;11.83;3200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;2194.00;f_0.16;0;10003.87;0.94;0.00;1425.23;car_0;;2;1349.00
5396.00;E5_0;300.00;12.51;3400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.17;1996.00;f_0.17;0;10003.87;0.97;0.00;1252.19;car_0;;3;1151.00
