tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;797.32;car_0;;1;736.00
2302.00;E5_0;300.00;13.37;212.00;0.24;E0_0;7.20;0.00;tripinfo_f_0.1;2090.00;f_0.1;0;10003.87;0.97;0.00;1344.63;car_0;;2;1270.00
2304.00;E5_0;300.00;12.89;424.00;0.47;E0_0;7.20;0.00;tripinfo_f_0.2;1880.00;f_0.2;0;10003.87;1.01;0.00;1158.05;car_0;;2;1054.00
2306.00;E5_0;300.00;13.39;636.00;0.71;E0_0;7.20;0.00;tripinfo_f_0.3;1670.00;f_0.3;0;10003.87;1.04;0.00;947.62;car_0;;3;843.00
2308.00;E5_0;300.00;12.73;848.00;0.94;E0_0;7.20;0.00;tripinfo_f_0.4;1460.00;f_0.4;0;10003.87;1.02;0.00;737.55;car_0;;1;657.00
3095.00;E5_0;300.00;11.67;1059.00;0.18;E0_0;7.20;0.00;tripinfo_f_0.5;2036.00;f_0.5;0;10003.87;0.92;0.00;1247.54;car_0;;3;1165.00
3097.00;E5_0;300.00;13.26;1271.00;0.41;E0_0;7.20;0.00;tripinfo_f_0.6;1826.00;f_0.6;0;10003.87;1.02;0.00;1104.06;car_0;;2;955.00
3099.00;E5_0;300.00;12.57;1483.00;0.65;E0_0;7.20;0.00;tripinfo_f_0.7;1616.00;f_0.7;0;10003.87;0.94;0.00;850.55;car_0;;3;741.00
3842.00;E5_0;300.00;12.46;1695.00;0.88;E0_0;7.20;0.00;tripinfo_f_0.8;2147.00;f_0.8;0;10003.87;0.97;0.00;1401.98;car_0;;2;1322.00
3864.00;E5_0;300.00;12.16;1906.00;0.12;E0_0;7.20;0.00;tripinfo_f_0.9;1958.00;f_0.9;0;10003.87;0.93;0.00;1181.17;car_0;;3;1098.00
3866.00;E5_0;300.00;12.36;2118.00;0.35;E0_0;7.20;0.00;tripinfo_f_0.10;1748.00;f_0.10;0;10003.87;1.05;0.00;1026.03;car_0;;3;886.00
3868.00;E5_0;300.00;13.46;2330.00;0.59;E0_0;7.20;0.00;tripinfo_f_0.11;1538.00;f_0.11;0;10003.87;1.01;0.00;816.04;car_0;;2;714.00
4602.00;E5_0;300.00;13.65;2542.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.12;2060.00;f_0.12;0;10003.87;1.02;0.00;1337.48;car_0;;2;1255.00
4603.00;E5_0;300.00;13.66;2753.00;0.06;E0_0;7.20;0.00;tripinfo_f_0.13;1850.00;f_0.13;0;10003.87;1.06;0.00;1128.78;car_0;;2;1042.00
4606.00;E5_0;300.00;13.39;2965.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.14;1641.00;f_0.14;0;10003.87;1.00;0.00;915.74;car_0;;3;832.00
5384.00;E5_0;300.00;12.46;3177.00;0.53;E0_0;7.20;0.00;tripinfo_f_0.15;2207.00;f_0.15;0;10003.87;0.96;0.00;1456.99;car_0;;3;1374.00
5399.00;E5_0;300.00;12.48;3389.00;0.76;E0_0;7.20;0.00;tripinfo_f_0.16;2010.00;f_0.16;0;10003.87;0.94;0.00;1241.18;car_0;;2;1161.00
