tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;796.51;car_0;;1;736.00
2300.00;E5_0;300.00;13.46;90.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2210.00;f_0.1;0;10003.87;0.97;0.00;1465.38;car_0;;2;1384.00
2302.00;E5_0;300.00;13.04;180.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2122.00;f_0.2;0;10003.87;1.01;0.00;1400.33;car_0;;2;1294.00
2304.00;E5_0;300.00;13.66;270.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;2034.00;f_0.3;0;10003.87;1.04;0.00;1311.96;car_0;;2;1204.00
2306.00;E5_0;300.00;13.39;360.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1946.00;f_0.4;0;10003.87;1.02;0.00;1223.91;car_0;;3;1114.00
3093.00;E5_0;300.00;11.83;450.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2643.00;f_0.5;0;10003.87;0.92;0.00;1854.64;car_0;;4;1767.00
3095.00;E5_0;300.00;13.41;540.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2555.00;f_0.6;0;10003.87;1.02;0.00;1832.30;car_0;;4;1668.00
3097.00;E5_0;300.00;12.98;630.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2467.00;f_0.7;0;10003.87;0.94;0.00;1700.81;car_0;;5;1585.00
3099.00;E5_0;300.00;12.84;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2379.00;f_0.8;0;10003.87;0.97;0.00;1633.39;car_0;;5;1489.00
3858.00;E5_0;300.00;11.80;810.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;3048.00;f_0.9;0;10003.87;0.93;0.00;2271.02;car_0;;3;2158.00
3860.00;E5_0;300.00;13.57;900.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;2960.00;f_0.10;0;10003.87;1.05;0.00;2238.42;car_0;;4;2111.00
3862.00;E5_0;300.00;13.36;990.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;2872.00;f_0.11;0;10003.87;1.01;0.00;2150.09;car_0;;4;2019.00
3864.00;E5_0;300.00;13.07;1080.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;2784.00;f_0.12;0;10003.87;1.02;0.00;2061.45;car_0;;4;1930.00
3866.00;E5_0;300.00;13.62;1170.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;2696.00;f_0.13;0;10003.87;1.06;0.00;1973.69;car_0;;5;1842.00
4602.00;E5_0;300.00;12.76;1260.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;3342.00;f_0.14;0;10003.87;1.00;0.00;2616.83;car_0;;6;2506.00
4622.00;E5_0;300.00;12.91;1350.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.15;3272.00;f_0.15;0;10003.87;0.96;0.00;2522.99;car_0;;7;2406.00
4636.00;E5_0;300.00;12.90;1440.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;3196.00;f_0.16;0;10003.87;0.94;0.00;2427.18;car_0;;5;2302.00
4638.00;E5_0;300.00;13.16;1530.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.17;3108.00;f_0.17;0;10003.87;0.97;0.00;2363.55;car_0;;7;2214.00
5388.00;E5_0;300.00;12.64;1620.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.18;3768.00;f_0.18;0;10003.87;0.97;0.00;3022.54;car_0;;4;2913.00
5390.00;E5_0;300.00;13.19;1710.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.19;3680.00;f_0.19;0;10003.87;1.08;0.00;2957.36;car_0;;5;2823.00
5392.00;E5_0;300.00;12.76;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.20;3592.00;f_0.20;0;10003.87;1.01;0.00;2869.51;car_0;;6;2735.00
6141.00;E5_0;300.00;12.60;1890.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.21;4251.00;f_0.21;0;10003.87;1.01;0.00;3529.87;car_0;;8;3392.00
6150.00;E5_0;300.00;12.98;1980.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.22;4170.00;f_0.22;0;10003.87;0.99;0.00;3439.00;car_0;;7;3308.00
6168.00;E5_0;300.00;12.71;2070.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.23;4098.00;f_0.23;0;10003.87;0.94;0.00;3334.08;car_0;;9;3212.00
6186.00;E5_0;300.00;12.35;2160.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.24;4026.00;f_0.24;0;10003.87;0.91;0.00;3234.62;car_0;;7;3107.00
8732.00;E5_0;300.00;12.67;2250.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.25;6482.00;f_0.25;0;10002.27;0.94;0.00;5910.06;car_0;;10;5762.00
10737.00;E5_0;300.00;12.88;2340.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.26;8397.00;f_0.26;0;10002.27;0.96;0.00;7839.24;car_0;;13;7687.00
12743.00;E5_0;300.00;12.52;2430.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.27;10313.00;f_0.27;0;10002.27;0.97;0.00;9764.27;car_0;;11;9590.00
14749.00;E5_0;300.00;13.76;2520.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.28;12229.00;f_0.28;0;10002.27;1.07;0.00;11694.41;car_0;;11;11526.00
18759.00;E5_0;300.00;13.16;2610.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.29;16149.00;f_0.29;0;10002.27;0.97;0.00;15595.21;car_0;;17;15423.00
20766.00;E5_0;300.00;13.17;2700.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.30;18066.00;f_0.30;0;10002.27;1.09;0.00;17530.77;car_0;;20;17333.00
20971.00;E5_0;300.00;12.89;2790.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.31;18181.00;f_0.31;0;10003.87;1.08;0.00;17459.85;car_0;;23;17233.00
20977.00;E5_0;300.00;13.32;2880.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.32;18097.00;f_0.32;0;10003.87;1.00;0.00;17375.57;car_0;;22;17144.00
20980.00;E5_0;300.00;13.51;2970.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.33;18010.00;f_0.33;0;10003.87;1.09;0.00;17288.45;car_0;;23;17063.00
20982.00;E5_0;300.00;13.54;3060.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.34;17922.00;f_0.34;0;10003.87;1.00;0.00;17198.95;car_0;;26;16968.00
20985.00;E5_0;300.00;12.64;3150.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.35;17835.00;f_0.35;0;10003.87;1.01;0.00;17112.64;car_0;;28;16882.00
20987.00;E5_0;300.00;13.56;3330.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.37;17657.00;f_0.37;0;10000.67;1.09;0.00;16739.28;car_0;;27;16552.00
20992.00;E5_0;300.00;13.31;3240.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.36;17752.00;f_0.36;0;10002.27;0.99;0.00;17154.12;car_0;;19;16971.00
20994.00;E5_0;300.00;12.87;3420.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.38;17574.00;f_0.38;0;10002.27;1.05;0.00;16985.00;car_0;;18;16790.00
21558.00;E5_0;300.00;13.01;3510.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.39;18048.00;f_0.39;0;10002.27;0.95;0.00;17428.59;car_0;;22;17250.00
