tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1517.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1517.00;f_0.0;0;10003.87;1.03;0.00;795.16;car_0;;1;736.00
2302.00;E5_0;300.00;13.46;150.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2152.00;f_0.1;0;10003.87;0.97;0.00;1407.73;car_0;;2;1325.00
2304.00;E5_0;300.00;13.04;300.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2004.00;f_0.2;0;10003.87;1.01;0.00;1282.63;car_0;;2;1179.00
2306.00;E5_0;300.00;13.66;450.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1856.00;f_0.3;0;10003.87;1.04;0.00;1134.31;car_0;;2;1027.00
2308.00;E5_0;300.00;13.39;600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1708.00;f_0.4;0;10003.87;1.02;0.00;986.82;car_0;;3;878.00
3094.00;E5_0;300.00;11.83;750.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2344.00;f_0.5;0;10003.87;0.92;0.00;1555.54;car_0;;3;1467.00
3096.00;E5_0;300.00;13.41;900.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2196.00;f_0.6;0;10003.87;1.02;0.00;1473.73;car_0;;2;1327.00
3098.00;E5_0;300.00;12.98;1050.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2048.00;f_0.7;0;10003.87;0.94;0.00;1282.51;car_0;;2;1174.00
3100.00;E5_0;300.00;12.84;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;1900.00;f_0.8;0;10003.87;0.97;0.00;1155.06;car_0;;2;1026.00
3861.00;E5_0;300.00;12.16;1350.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;2511.00;f_0.9;0;10003.87;0.93;0.00;1733.21;car_0;;6;1626.00
3863.00;E5_0;300.00;13.19;1500.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;2363.00;f_0.10;0;10003.87;1.05;0.00;1641.02;car_0;;4;1512.00
3864.00;E5_0;300.00;13.34;1650.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;2214.00;f_0.11;0;10003.87;1.01;0.00;1492.87;car_0;;2;1369.00
3866.00;E5_0;300.00;13.62;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;2066.00;f_0.12;0;10003.87;1.02;0.00;1343.91;car_0;;4;1223.00
3868.00;E5_0;300.00;12.86;1950.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;1918.00;f_0.13;0;10003.87;1.06;0.00;1196.06;car_0;;3;1075.00
4604.00;E5_0;300.00;12.76;2100.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;2504.00;f_0.14;0;10003.87;1.00;0.00;1779.15;car_0;;4;1677.00
4622.00;E5_0;300.00;12.51;2250.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.15;2372.00;f_0.15;0;10003.87;0.96;0.00;1622.25;car_0;;4;1527.00
4634.00;E5_0;300.00;12.01;2400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;2234.00;f_0.16;0;10003.87;0.94;0.00;1465.57;car_0;;3;1378.00
4636.00;E5_0;300.00;13.38;2550.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.17;2086.00;f_0.17;0;10003.87;0.97;0.00;1342.26;car_0;;2;1230.00
4638.00;E5_0;300.00;12.34;2700.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.18;1938.00;f_0.18;0;10003.87;0.97;0.00;1192.50;car_0;;3;1075.00
5369.00;E5_0;300.00;13.76;2850.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.19;2519.00;f_0.19;0;10003.87;1.08;0.00;1797.13;car_0;;4;1675.00
5373.00;E5_0;300.00;13.64;3000.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.20;2373.00;f_0.20;0;10003.87;1.01;0.00;1650.98;car_0;;6;1549.00
5375.00;E5_0;300.00;12.81;3150.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.21;2225.00;f_0.21;0;10003.87;1.01;0.00;1503.03;car_0;;3;1412.00
5382.00;E5_0;300.00;12.68;3300.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.22;2082.00;f_0.22;0;10003.87;0.99;0.00;1350.84;car_0;;3;1268.00
5401.00;E5_0;300.00;12.14;3450.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.23;1951.00;f_0.23;0;10003.87;0.94;0.00;1187.13;car_0;;4;1101.00
