tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;798.36;car_0;;1;736.00
2300.00;E5_0;300.00;12.88;117.00;0.87;E0_0;7.20;0.00;tripinfo_f_0.1;2183.00;f_0.1;0;10003.87;0.97;0.00;1438.02;car_0;;3;1357.00
2302.00;E5_0;300.00;12.92;233.00;0.74;E0_0;7.20;0.00;tripinfo_f_0.2;2069.00;f_0.2;0;10003.87;1.01;0.00;1346.30;car_0;;3;1235.00
2304.00;E5_0;300.00;13.22;349.00;0.61;E0_0;7.20;0.00;tripinfo_f_0.3;1955.00;f_0.3;0;10003.87;1.04;0.00;1232.88;car_0;;2;1124.00
2306.00;E5_0;300.00;13.66;465.00;0.48;E0_0;7.20;0.00;tripinfo_f_0.4;1841.00;f_0.4;0;10003.87;1.02;0.00;1119.04;car_0;;2;1026.00
3093.00;E5_0;300.00;11.67;581.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.5;2512.00;f_0.5;0;10003.87;0.92;0.00;1724.27;car_0;;4;1631.00
3095.00;E5_0;300.00;13.26;697.00;0.23;E0_0;7.20;0.00;tripinfo_f_0.6;2398.00;f_0.6;0;10003.87;1.02;0.00;1676.77;car_0;;5;1516.00
3097.00;E5_0;300.00;12.57;813.00;0.10;E0_0;7.20;0.00;tripinfo_f_0.7;2284.00;f_0.7;0;10003.87;0.94;0.00;1518.71;car_0;;2;1409.00
3843.00;E5_0;300.00;13.10;930.00;0.97;E0_0;7.20;0.00;tripinfo_f_0.8;2913.00;f_0.8;0;10003.87;0.97;0.00;2168.03;car_0;;5;2076.00
3865.00;E5_0;300.00;12.31;1046.00;0.84;E0_0;7.20;0.00;tripinfo_f_0.9;2819.00;f_0.9;0;10003.87;0.93;0.00;2041.55;car_0;;5;1941.00
