tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;797.65;car_0;;1;736.00
2299.00;E5_0;300.00;13.46;80.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2219.00;f_0.1;0;10003.87;0.97;0.00;1473.89;car_0;;2;1396.00
2301.00;E5_0;300.00;13.04;160.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2141.00;f_0.2;0;10003.87;1.01;0.00;1419.17;car_0;;3;1314.00
2303.00;E5_0;300.00;13.66;240.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;2063.00;f_0.3;0;10003.87;1.04;0.00;1341.63;car_0;;2;1241.00
2305.00;E5_0;300.00;13.39;320.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1985.00;f_0.4;0;10003.87;1.02;0.00;1263.39;car_0;;2;1178.00
3093.00;E5_0;300.00;11.83;400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2693.00;f_0.5;0;10003.87;0.92;0.00;1904.48;car_0;;3;1809.00
3095.00;E5_0;300.00;13.41;480.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2615.00;f_0.6;0;10003.87;1.02;0.00;1893.17;car_0;;5;1732.00
3097.00;E5_0;300.00;12.98;560.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2537.00;f_0.7;0;10003.87;0.94;0.00;1771.62;car_0;;5;1650.00
3099.00;E5_0;300.00;12.84;640.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2459.00;f_0.8;0;10003.87;0.97;0.00;1713.35;car_0;;4;1571.00
3859.00;E5_0;300.00;12.16;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;3139.00;f_0.9;0;10003.87;0.93;0.00;2361.90;car_0;;6;2250.00
3861.00;E5_0;300.00;13.19;800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;3061.00;f_0.10;0;10003.87;1.05;0.00;2339.17;car_0;;4;2184.00
3863.00;E5_0;300.00;13.07;880.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;2983.00;f_0.11;0;10003.87;1.01;0.00;2261.00;car_0;;5;2105.00
3865.00;E5_0;300.00;12.86;960.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;2905.00;f_0.12;0;10003.87;1.02;0.00;2183.03;car_0;;5;2024.00
3866.00;E5_0;300.00;13.66;1040.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;2826.00;f_0.13;0;10003.87;1.06;0.00;2104.61;car_0;;5;1945.00
4604.00;E5_0;300.00;12.98;1120.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;3484.00;f_0.14;0;10003.87;1.00;0.00;2759.53;car_0;;6;2648.00
4619.00;E5_0;300.00;12.97;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.15;3419.00;f_0.15;0;10003.87;0.96;0.00;2669.81;car_0;;8;2558.00
4630.00;E5_0;300.00;11.88;1280.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;3350.00;f_0.16;0;10003.87;0.94;0.00;2581.32;car_0;;7;2469.00
4632.00;E5_0;300.00;12.49;1360.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.17;3272.00;f_0.17;0;10003.87;0.97;0.00;2528.04;car_0;;9;2389.00
4634.00;E5_0;300.00;13.16;1440.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.18;3194.00;f_0.18;0;10003.87;0.97;0.00;2447.44;car_0;;6;2308.00
5371.00;E5_0;300.00;13.87;1520.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.19;3851.00;f_0.19;0;10003.87;1.08;0.00;3129.66;car_0;;9;2995.00
5375.00;E5_0;300.00;12.65;1600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.20;3775.00;f_0.20;0;10003.87;1.01;0.00;3053.63;car_0;;5;2928.00
5378.00;E5_0;300.00;12.81;1680.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.21;3698.00;f_0.21;0;10003.87;1.01;0.00;2975.91;car_0;;8;2859.00
5387.00;E5_0;300.00;13.68;1760.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.22;3627.00;f_0.22;0;10003.87;0.99;0.00;2896.46;car_0;;10;2778.00
6162.00;E5_0;300.00;12.41;1840.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.23;4322.00;f_0.23;0;10003.87;0.94;0.00;3558.08;car_0;;10;3441.00
6179.00;E5_0;300.00;12.02;1920.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.24;4259.00;f_0.24;0;10003.87;0.91;0.00;3468.35;car_0;;10;3338.00
6181.00;E5_0;300.00;11.82;2000.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.25;4181.00;f_0.25;0;10003.87;0.94;0.00;3410.57;car_0;;10;3257.00
6183.00;E5_0;300.00;12.46;2080.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.26;4103.00;f_0.26;0;10003.87;0.96;0.00;3349.99;car_0;;10;3178.00
6185.00;E5_0;300.00;13.24;2160.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.27;4025.00;f_0.27;0;10003.87;0.97;0.00;3284.52;car_0;;11;3094.00
6909.00;E5_0;300.00;13.64;2240.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.28;4669.00;f_0.28;0;10003.87;1.07;0.00;3947.25;car_0;;14;3795.00
6925.00;E5_0;300.00;12.37;2320.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.29;4605.00;f_0.29;0;10003.87;0.97;0.00;3857.18;car_0;;11;3712.00
6927.00;E5_0;300.00;12.87;2400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.30;4527.00;f_0.30;0;10003.87;1.09;0.00;3805.31;car_0;;14;3648.00
6929.00;E5_0;300.00;13.29;2480.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.31;4449.00;f_0.31;0;10003.87;1.08;0.00;3727.01;car_0;;12;3564.00
6931.00;E5_0;300.00;13.31;2560.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.32;4371.00;f_0.32;0;10003.87;1.00;0.00;3649.15;car_0;;13;3484.00
7681.00;E5_0;300.00;13.32;2640.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.33;5041.00;f_0.33;0;10003.87;1.09;0.00;4318.62;car_0;;14;4176.00
7685.00;E5_0;300.00;12.95;2720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.34;4965.00;f_0.34;0;10003.87;1.00;0.00;4241.68;car_0;;14;4089.00
7689.00;E5_0;300.00;13.34;2800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.35;4889.00;f_0.35;0;10003.87;1.01;0.00;4166.40;car_0;;14;4010.00
7695.00;E5_0;300.00;13.51;2880.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.36;4815.00;f_0.36;0;10003.87;0.99;0.00;4082.49;car_0;;14;3930.00
8451.00;E5_0;300.00;13.65;2960.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.37;5491.00;f_0.37;0;10003.87;1.09;0.00;4769.31;car_0;;16;4602.00
8454.00;E5_0;300.00;13.20;3040.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.38;5414.00;f_0.38;0;10003.87;1.05;0.00;4692.80;car_0;;19;4530.00
8477.00;E5_0;300.00;12.63;3120.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.39;5357.00;f_0.39;0;10003.87;0.95;0.00;4597.49;car_0;;16;4449.00
8479.00;E5_0;300.00;13.39;3200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.40;5279.00;f_0.40;0;10003.87;1.02;0.00;4556.89;car_0;;15;4369.00
