tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;797.22;car_0;;1;736.00
2301.00;E5_0;300.00;12.62;400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;1901.00;f_0.1;0;10003.87;0.97;0.00;1156.43;car_0;;4;1075.00
2303.00;E5_0;300.00;12.72;800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;1503.00;f_0.2;0;10003.87;1.01;0.00;781.24;car_0;;1;705.00
2305.00;E5_0;300.00;13.63;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1105.00;f_0.3;0;10003.87;1.04;0.00;382.63;car_0;;2;307.00
3063.00;E5_0;300.00;13.39;1600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1463.00;f_0.4;0;10003.87;1.02;0.00;740.78;car_0;;1;675.00
3863.00;E5_0;300.00;11.53;2000.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;1863.00;f_0.5;0;10003.87;0.92;0.00;1074.75;car_0;;2;990.00
3865.00;E5_0;300.00;13.69;2400.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;1465.00;f_0.6;0;10003.87;1.02;0.00;743.37;car_0;;1;647.00
4620.00;E5_0;300.00;13.07;2800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;1820.00;f_0.7;0;10003.87;0.94;0.00;1054.45;car_0;;2;976.00
5382.00;E5_0;300.00;12.89;3200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2182.00;f_0.8;0;10003.87;0.97;0.00;1436.90;car_0;;3;1358.00
