tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1521.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1521.00;f_0.0;0;10003.87;1.03;0.00;799.22;car_0;;1;736.00
2299.00;E5_0;300.00;13.46;172.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.1;2127.00;f_0.1;0;10003.87;0.97;0.00;1382.45;car_0;;2;1303.00
2301.00;E5_0;300.00;13.04;343.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.2;1958.00;f_0.2;0;10003.87;1.01;0.00;1235.67;car_0;;3;1134.00
2303.00;E5_0;300.00;13.66;515.00;0.71;E0_0;7.20;0.00;tripinfo_f_0.3;1788.00;f_0.3;0;10003.87;1.04;0.00;1066.30;car_0;;3;960.00
2305.00;E5_0;300.00;13.39;686.00;0.28;E0_0;7.20;0.00;tripinfo_f_0.4;1619.00;f_0.4;0;10003.87;1.02;0.00;897.63;car_0;;3;809.00
3094.00;E5_0;300.00;11.83;858.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.5;2236.00;f_0.5;0;10003.87;0.92;0.00;1447.12;car_0;;2;1361.00
3096.00;E5_0;300.00;13.41;1029.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.6;2067.00;f_0.6;0;10003.87;1.02;0.00;1344.57;car_0;;2;1194.00
3098.00;E5_0;300.00;12.98;1201.00;1.00;E0_0;7.20;0.00;tripinfo_f_0.7;1897.00;f_0.7;0;10003.87;0.94;0.00;1131.30;car_0;;2;1019.00
3100.00;E5_0;300.00;12.84;1372.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.8;1728.00;f_0.8;0;10003.87;0.97;0.00;982.18;car_0;;2;846.00
3859.00;E5_0;300.00;12.16;1543.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.9;2316.00;f_0.9;0;10003.87;0.93;0.00;1538.36;car_0;;3;1455.00
3861.00;E5_0;300.00;13.19;1715.00;0.71;E0_0;7.20;0.00;tripinfo_f_0.10;2146.00;f_0.10;0;10003.87;1.05;0.00;1424.16;car_0;;2;1283.00
3863.00;E5_0;300.00;13.07;1886.00;0.28;E0_0;7.20;0.00;tripinfo_f_0.11;1977.00;f_0.11;0;10003.87;1.01;0.00;1254.43;car_0;;3;1113.00
3865.00;E5_0;300.00;12.86;2058.00;0.85;E0_0;7.20;0.00;tripinfo_f_0.12;1807.00;f_0.12;0;10003.87;1.02;0.00;1084.86;car_0;;3;941.00
3867.00;E5_0;300.00;13.49;2229.00;0.42;E0_0;7.20;0.00;tripinfo_f_0.13;1638.00;f_0.13;0;10003.87;1.06;0.00;915.80;car_0;;2;766.00
4605.00;E5_0;300.00;13.82;2401.00;0.99;E0_0;7.20;0.00;tripinfo_f_0.14;2204.00;f_0.14;0;10003.87;1.00;0.00;1478.54;car_0;;2;1394.00
4620.00;E5_0;300.00;12.29;2572.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.15;2048.00;f_0.15;0;10003.87;0.96;0.00;1299.31;car_0;;3;1213.00
4634.00;E5_0;300.00;11.85;2743.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.16;1891.00;f_0.16;0;10003.87;0.94;0.00;1121.85;car_0;;6;1025.00
5382.00;E5_0;300.00;12.94;2915.00;0.71;E0_0;7.20;0.00;tripinfo_f_0.17;2467.00;f_0.17;0;10003.87;0.97;0.00;1722.96;car_0;;4;1629.00
5385.00;E5_0;300.00;12.84;3086.00;0.28;E0_0;7.20;0.00;tripinfo_f_0.18;2299.00;f_0.18;0;10003.87;0.97;0.00;1553.12;car_0;;2;1472.00
5387.00;E5_0;300.00;12.76;3258.00;0.85;E0_0;7.20;0.00;tripinfo_f_0.19;2129.00;f_0.19;0;10003.87;1.08;0.00;1406.72;car_0;;2;1298.00
5389.00;E5_0;300.00;13.01;3429.00;0.42;E0_0;7.20;0.00;tripinfo_f_0.20;1960.00;f_0.20;0;10003.87;1.01;0.00;1237.67;car_0;;3;1127.00
