tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;797.10;car_0;;1;736.00
2300.00;E5_0;300.00;13.46;144.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2156.00;f_0.1;0;10003.87;0.97;0.00;1411.63;car_0;;3;1330.00
2302.00;E5_0;300.00;13.04;288.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2014.00;f_0.2;0;10003.87;1.01;0.00;1291.85;car_0;;2;1183.00
2304.00;E5_0;300.00;13.66;432.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1872.00;f_0.3;0;10003.87;1.04;0.00;1150.62;car_0;;3;1042.00
2306.00;E5_0;300.00;13.39;576.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1730.00;f_0.4;0;10003.87;1.02;0.00;1007.99;car_0;;2;899.00
3090.00;E5_0;300.00;11.83;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2370.00;f_0.5;0;10003.87;0.92;0.00;1582.33;car_0;;3;1493.00
3092.00;E5_0;300.00;13.41;864.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2228.00;f_0.6;0;10003.87;1.02;0.00;1506.52;car_0;;2;1364.00
3094.00;E5_0;300.00;12.98;1008.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2086.00;f_0.7;0;10003.87;0.94;0.00;1320.28;car_0;;2;1219.00
3096.00;E5_0;300.00;12.84;1152.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;1944.00;f_0.8;0;10003.87;0.97;0.00;1198.69;car_0;;4;1077.00
3860.00;E5_0;300.00;12.16;1296.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;2564.00;f_0.9;0;10003.87;0.93;0.00;1786.21;car_0;;4;1667.00
3862.00;E5_0;300.00;13.19;1440.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;2422.00;f_0.10;0;10003.87;1.05;0.00;1699.96;car_0;;4;1567.00
3863.00;E5_0;300.00;13.34;1584.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;2279.00;f_0.11;0;10003.87;1.01;0.00;1557.21;car_0;;4;1433.00
3865.00;E5_0;300.00;13.62;1728.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;2137.00;f_0.12;0;10003.87;1.02;0.00;1415.05;car_0;;2;1295.00
3867.00;E5_0;300.00;12.86;1872.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;1995.00;f_0.13;0;10003.87;1.06;0.00;1273.82;car_0;;3;1157.00
4604.00;E5_0;300.00;12.98;2016.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;2588.00;f_0.14;0;10003.87;1.00;0.00;1862.84;car_0;;4;1765.00
4617.00;E5_0;300.00;12.25;2160.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.15;2457.00;f_0.15;0;10003.87;0.96;0.00;1708.05;car_0;;5;1617.00
4633.00;E5_0;300.00;12.01;2304.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;2329.00;f_0.16;0;10003.87;0.94;0.00;1560.95;car_0;;2;1475.00
4635.00;E5_0;300.00;13.38;2448.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.17;2187.00;f_0.17;0;10003.87;0.97;0.00;1443.12;car_0;;3;1329.00
4637.00;E5_0;300.00;12.34;2592.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.18;2045.00;f_0.18;0;10003.87;0.97;0.00;1299.82;car_0;;2;1185.00
5370.00;E5_0;300.00;13.87;2736.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.19;2634.00;f_0.19;0;10003.87;1.08;0.00;1911.35;car_0;;3;1814.00
5375.00;E5_0;300.00;12.85;2880.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.20;2495.00;f_0.20;0;10003.87;1.01;0.00;1773.21;car_0;;3;1676.00
5377.00;E5_0;300.00;13.83;3024.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.21;2353.00;f_0.21;0;10003.87;1.01;0.00;1631.18;car_0;;5;1530.00
5385.00;E5_0;300.00;13.68;3168.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.22;2217.00;f_0.22;0;10003.87;0.99;0.00;1486.32;car_0;;2;1401.00
6163.00;E5_0;300.00;12.40;3312.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.23;2851.00;f_0.23;0;10003.87;0.94;0.00;2086.71;car_0;;4;1990.00
6179.00;E5_0;300.00;11.63;3456.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.24;2723.00;f_0.24;0;10003.87;0.91;0.00;1932.03;car_0;;3;1833.00
