tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1519.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1519.00;f_0.0;0;10003.87;1.03;0.00;797.06;car_0;;1;736.00
4129.00;E5_0;300.00;12.94;103.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.1;4026.00;f_0.1;0;10002.27;0.97;0.00;3446.37;car_0;;4;3376.00
6136.00;E5_0;300.00;13.15;206.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.2;5930.00;f_0.2;0;10002.27;1.01;0.00;5368.89;car_0;;4;5275.00
8142.00;E5_0;300.00;13.63;309.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.3;7833.00;f_0.3;0;10002.27;1.04;0.00;7271.71;car_0;;6;7168.00
10148.00;E5_0;300.00;13.39;412.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.4;9736.00;f_0.4;0;10002.27;1.02;0.00;9175.19;car_0;;8;9080.00
12159.00;E5_0;300.00;11.85;515.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.5;11644.00;f_0.5;0;10002.27;0.92;0.00;11032.07;car_0;;11;10911.00
16170.00;E5_0;300.00;12.81;618.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.6;15552.00;f_0.6;0;10002.27;1.02;0.00;14991.55;car_0;;12;14811.00
18178.00;E5_0;300.00;12.47;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;17458.00;f_0.7;0;10002.27;0.94;0.00;16863.65;car_0;;13;16708.00
20185.00;E5_0;300.00;12.33;926.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.9;19259.00;f_0.9;0;9999.07;0.93;0.00;18465.82;car_0;;16;18352.00
22191.00;E5_0;300.00;12.73;823.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.8;21368.00;f_0.8;0;10000.67;0.97;0.00;20953.45;car_0;;17;20823.00
24197.00;E5_0;300.00;13.44;1029.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.10;23168.00;f_0.10;0;10000.67;1.05;0.00;22766.64;car_0;;19;22623.00
26207.00;E5_0;300.00;12.79;1132.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.11;25075.00;f_0.11;0;10000.67;1.01;0.00;24673.04;car_0;;19;24512.00
28214.00;E5_0;300.00;13.10;1235.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.12;26979.00;f_0.12;0;10000.67;1.02;0.00;26577.17;car_0;;24;26409.00
30223.00;E5_0;300.00;13.72;1338.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.13;28885.00;f_0.13;0;10000.67;1.06;0.00;28482.62;car_0;;23;28312.00
32232.00;E5_0;300.00;13.59;1440.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;30792.00;f_0.14;0;10000.67;1.00;0.00;30388.10;car_0;;28;30208.00
34238.00;E5_0;300.00;13.22;1543.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.15;32695.00;f_0.15;0;10000.67;0.96;0.00;32277.03;car_0;;27;32101.00
40255.00;E5_0;300.00;12.57;1646.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.16;38609.00;f_0.16;0;10000.67;0.94;0.00;38181.50;car_0;;32;37979.00
42261.00;E5_0;300.00;13.23;1749.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.17;40512.00;f_0.17;0;10000.67;0.97;0.00;40098.25;car_0;;35;39875.00
44269.00;E5_0;300.00;13.42;1852.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.18;42417.00;f_0.18;0;10000.67;0.97;0.00;42001.89;car_0;;36;41776.00
46273.00;E5_0;300.00;13.02;1955.00;0.72;E0_0;7.20;0.00;tripinfo_f_0.19;44318.00;f_0.19;0;10000.67;1.08;0.00;43917.17;car_0;;42;43677.00
