tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1518.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1518.00;f_0.0;0;10003.87;1.03;0.00;796.40;car_0;;1;736.00
2300.00;E5_0;300.00;12.88;139.00;0.54;E0_0;7.20;0.00;tripinfo_f_0.1;2161.00;f_0.1;0;10003.87;0.97;0.00;1415.54;car_0;;2;1341.00
2302.00;E5_0;300.00;12.92;277.00;0.08;E0_0;7.20;0.00;tripinfo_f_0.2;2025.00;f_0.2;0;10003.87;1.01;0.00;1302.51;car_0;;3;1201.00
2304.00;E5_0;300.00;13.22;416.00;0.61;E0_0;7.20;0.00;tripinfo_f_0.3;1888.00;f_0.3;0;10003.87;1.04;0.00;1165.52;car_0;;2;1061.00
2306.00;E5_0;300.00;13.66;554.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.4;1752.00;f_0.4;0;10003.87;1.02;0.00;1029.38;car_0;;2;922.00
3095.00;E5_0;300.00;11.57;693.00;0.69;E0_0;7.20;0.00;tripinfo_f_0.5;2402.00;f_0.5;0;10003.87;0.92;0.00;1613.29;car_0;;3;1522.00
3097.00;E5_0;300.00;12.91;831.00;0.23;E0_0;7.20;0.00;tripinfo_f_0.6;2266.00;f_0.6;0;10003.87;1.02;0.00;1543.60;car_0;;2;1394.00
3099.00;E5_0;300.00;12.10;970.00;0.77;E0_0;7.20;0.00;tripinfo_f_0.7;2129.00;f_0.7;0;10003.87;0.94;0.00;1363.36;car_0;;2;1251.00
3101.00;E5_0;300.00;12.40;1108.00;0.30;E0_0;7.20;0.00;tripinfo_f_0.8;1993.00;f_0.8;0;10003.87;0.97;0.00;1247.25;car_0;;3;1115.00
3859.00;E5_0;300.00;11.94;1247.00;0.84;E0_0;7.20;0.00;tripinfo_f_0.9;2612.00;f_0.9;0;10003.87;0.93;0.00;1834.85;car_0;;3;1724.00
3861.00;E5_0;300.00;13.72;1385.00;0.38;E0_0;7.20;0.00;tripinfo_f_0.10;2476.00;f_0.10;0;10003.87;1.05;0.00;1754.48;car_0;;4;1625.00
3863.00;E5_0;300.00;12.88;1524.00;0.92;E0_0;7.20;0.00;tripinfo_f_0.11;2339.00;f_0.11;0;10003.87;1.01;0.00;1617.46;car_0;;2;1494.00
3865.00;E5_0;300.00;13.45;1662.00;0.46;E0_0;7.20;0.00;tripinfo_f_0.12;2203.00;f_0.12;0;10003.87;1.02;0.00;1481.21;car_0;;3;1364.00
3867.00;E5_0;300.00;13.66;1801.00;0.99;E0_0;7.20;0.00;tripinfo_f_0.13;2066.00;f_0.13;0;10003.87;1.06;0.00;1343.52;car_0;;3;1228.00
4605.00;E5_0;300.00;13.82;1939.00;0.53;E0_0;7.20;0.00;tripinfo_f_0.14;2666.00;f_0.14;0;10003.87;1.00;0.00;1940.77;car_0;;4;1840.00
4620.00;E5_0;300.00;12.72;2077.00;0.07;E0_0;7.20;0.00;tripinfo_f_0.15;2543.00;f_0.15;0;10003.87;0.96;0.00;1793.72;car_0;;4;1696.00
4632.00;E5_0;300.00;12.72;2216.00;0.61;E0_0;7.20;0.00;tripinfo_f_0.16;2416.00;f_0.16;0;10003.87;0.94;0.00;1647.44;car_0;;4;1553.00
4634.00;E5_0;300.00;12.74;2354.00;0.15;E0_0;7.20;0.00;tripinfo_f_0.17;2280.00;f_0.17;0;10003.87;0.97;0.00;1535.97;car_0;;3;1423.00
5386.00;E5_0;300.00;12.84;2493.00;0.68;E0_0;7.20;0.00;tripinfo_f_0.18;2893.00;f_0.18;0;10003.87;0.97;0.00;2147.02;car_0;;4;2049.00
5388.00;E5_0;300.00;12.76;2631.00;0.22;E0_0;7.20;0.00;tripinfo_f_0.19;2757.00;f_0.19;0;10003.87;1.08;0.00;2035.11;car_0;;4;1915.00
5390.00;E5_0;300.00;13.01;2770.00;0.76;E0_0;7.20;0.00;tripinfo_f_0.20;2620.00;f_0.20;0;10003.87;1.01;0.00;1897.58;car_0;;4;1773.00
6141.00;E5_0;300.00;13.04;2908.00;0.30;E0_0;7.20;0.00;tripinfo_f_0.21;3233.00;f_0.21;0;10003.87;1.01;0.00;2511.34;car_0;;5;2387.00
6149.00;E5_0;300.00;12.91;3047.00;0.84;E0_0;7.20;0.00;tripinfo_f_0.22;3102.00;f_0.22;0;10003.87;0.99;0.00;2370.89;car_0;;5;2256.00
6168.00;E5_0;300.00;12.57;3185.00;0.37;E0_0;7.20;0.00;tripinfo_f_0.23;2983.00;f_0.23;0;10003.87;0.94;0.00;2219.41;car_0;;3;2118.00
6186.00;E5_0;300.00;11.83;3324.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.24;2862.00;f_0.24;0;10003.87;0.91;0.00;2070.93;car_0;;3;1963.00
6188.00;E5_0;300.00;12.58;3462.00;0.45;E0_0;7.20;0.00;tripinfo_f_0.25;2726.00;f_0.25;0;10003.87;0.94;0.00;1954.64;car_0;;4;1826.00
