tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1521.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1521.00;f_0.0;0;10003.87;1.03;0.00;798.58;car_0;;1;736.00
2301.00;E5_0;300.00;13.46;110.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.1;2191.00;f_0.1;0;10003.87;0.97;0.00;1446.24;car_0;;2;1368.00
2303.00;E5_0;300.00;13.04;219.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.2;2084.00;f_0.2;0;10003.87;1.01;0.00;1362.29;car_0;;3;1255.00
2305.00;E5_0;300.00;13.66;328.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.3;1977.00;f_0.3;0;10003.87;1.04;0.00;1254.89;car_0;;2;1147.00
2307.00;E5_0;300.00;13.39;437.00;0.64;E0_0;7.20;0.00;tripinfo_f_0.4;1870.00;f_0.4;0;10003.87;1.02;0.00;1147.83;car_0;;2;1038.00
3093.00;E5_0;300.00;11.83;546.00;0.55;E0_0;7.20;0.00;tripinfo_f_0.5;2547.00;f_0.5;0;10003.87;0.92;0.00;1758.41;car_0;;3;1665.00
3095.00;E5_0;300.00;13.41;655.00;0.45;E0_0;7.20;0.00;tripinfo_f_0.6;2440.00;f_0.6;0;10003.87;1.02;0.00;1717.92;car_0;;4;1555.00
3097.00;E5_0;300.00;12.98;764.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.7;2333.00;f_0.7;0;10003.87;0.94;0.00;1566.93;car_0;;3;1461.00
3099.00;E5_0;300.00;12.84;873.00;0.27;E0_0;7.20;0.00;tripinfo_f_0.8;2226.00;f_0.8;0;10003.87;0.97;0.00;1481.21;car_0;;4;1352.00
3858.00;E5_0;300.00;12.16;982.00;0.18;E0_0;7.20;0.00;tripinfo_f_0.9;2876.00;f_0.9;0;10003.87;0.93;0.00;2098.53;car_0;;3;2004.00
3860.00;E5_0;300.00;13.19;1091.00;0.09;E0_0;7.20;0.00;tripinfo_f_0.10;2769.00;f_0.10;0;10003.87;1.05;0.00;2046.96;car_0;;3;1895.00
3861.00;E5_0;300.00;13.34;1201.00;1.00;E0_0;7.20;0.00;tripinfo_f_0.11;2660.00;f_0.11;0;10003.87;1.01;0.00;1938.66;car_0;;4;1783.00
3863.00;E5_0;300.00;13.62;1310.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.12;2553.00;f_0.12;0;10003.87;1.02;0.00;1831.19;car_0;;3;1675.00
3865.00;E5_0;300.00;12.86;1419.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.13;2446.00;f_0.13;0;10003.87;1.06;0.00;1724.64;car_0;;6;1561.00
4605.00;E5_0;300.00;12.75;1528.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.14;3077.00;f_0.14;0;10003.87;1.00;0.00;2351.80;car_0;;4;2239.00
4620.00;E5_0;300.00;12.98;1637.00;0.64;E0_0;7.20;0.00;tripinfo_f_0.15;2983.00;f_0.15;0;10003.87;0.96;0.00;2233.13;car_0;;4;2137.00
4634.00;E5_0;300.00;13.00;1746.00;0.54;E0_0;7.20;0.00;tripinfo_f_0.16;2888.00;f_0.16;0;10003.87;0.94;0.00;2119.44;car_0;;3;2014.00
4636.00;E5_0;300.00;13.29;1855.00;0.45;E0_0;7.20;0.00;tripinfo_f_0.17;2781.00;f_0.17;0;10003.87;0.97;0.00;2037.36;car_0;;3;1901.00
5383.00;E5_0;300.00;12.15;1964.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.18;3419.00;f_0.18;0;10003.87;0.97;0.00;2673.46;car_0;;4;2565.00
5385.00;E5_0;300.00;12.81;2073.00;0.27;E0_0;7.20;0.00;tripinfo_f_0.19;3312.00;f_0.19;0;10003.87;1.08;0.00;2590.08;car_0;;7;2460.00
5387.00;E5_0;300.00;12.84;2182.00;0.18;E0_0;7.20;0.00;tripinfo_f_0.20;3205.00;f_0.20;0;10003.87;1.01;0.00;2482.48;car_0;;7;2349.00
5389.00;E5_0;300.00;12.86;2291.00;0.09;E0_0;7.20;0.00;tripinfo_f_0.21;3098.00;f_0.21;0;10003.87;1.01;0.00;2376.15;car_0;;5;2244.00
5391.00;E5_0;300.00;12.84;2401.00;1.00;E0_0;7.20;0.00;tripinfo_f_0.22;2990.00;f_0.22;0;10003.87;0.99;0.00;2259.12;car_0;;4;2148.00
6160.00;E5_0;300.00;12.07;2510.00;0.91;E0_0;7.20;0.00;tripinfo_f_0.23;3650.00;f_0.23;0;10003.87;0.94;0.00;2885.95;car_0;;9;2773.00
6176.00;E5_0;300.00;12.33;2619.00;0.82;E0_0;7.20;0.00;tripinfo_f_0.24;3557.00;f_0.24;0;10003.87;0.91;0.00;2765.96;car_0;;6;2654.00
6178.00;E5_0;300.00;12.40;2728.00;0.73;E0_0;7.20;0.00;tripinfo_f_0.25;3450.00;f_0.25;0;10003.87;0.94;0.00;2678.65;car_0;;7;2552.00
6180.00;E5_0;300.00;12.05;2837.00;0.63;E0_0;7.20;0.00;tripinfo_f_0.26;3343.00;f_0.26;0;10003.87;0.96;0.00;2589.40;car_0;;8;2443.00
6182.00;E5_0;300.00;12.82;2946.00;0.54;E0_0;7.20;0.00;tripinfo_f_0.27;3236.00;f_0.27;0;10003.87;0.97;0.00;2495.33;car_0;;8;2332.00
6911.00;E5_0;300.00;13.79;3055.00;0.45;E0_0;7.20;0.00;tripinfo_f_0.28;3856.00;f_0.28;0;10003.87;1.07;0.00;3134.02;car_0;;9;3008.00
6929.00;E5_0;300.00;12.77;3164.00;0.36;E0_0;7.20;0.00;tripinfo_f_0.29;3765.00;f_0.29;0;10003.87;0.97;0.00;3017.65;car_0;;7;2907.00
6931.00;E5_0;300.00;12.72;3273.00;0.27;E0_0;7.20;0.00;tripinfo_f_0.30;3658.00;f_0.30;0;10003.87;1.09;0.00;2936.41;car_0;;8;2800.00
6933.00;E5_0;300.00;13.24;3382.00;0.18;E0_0;7.20;0.00;tripinfo_f_0.31;3551.00;f_0.31;0;10003.87;1.08;0.00;2829.68;car_0;;9;2683.00
7681.00;E5_0;300.00;12.90;3491.00;0.09;E0_0;7.20;0.00;tripinfo_f_0.32;4190.00;f_0.32;0;10003.87;1.00;0.00;3467.75;car_0;;7;3326.00
