tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1521.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1521.00;f_0.0;0;10003.87;1.03;0.00;799.07;car_0;;1;736.00
2300.00;E5_0;300.00;13.46;113.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.1;2187.00;f_0.1;0;10003.87;0.97;0.00;1442.00;car_0;;3;1361.00
2302.00;E5_0;300.00;13.04;225.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2077.00;f_0.2;0;10003.87;1.01;0.00;1355.54;car_0;;3;1248.00
2304.00;E5_0;300.00;13.66;338.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.3;1966.00;f_0.3;0;10003.87;1.04;0.00;1244.61;car_0;;3;1138.00
2306.00;E5_0;300.00;13.39;450.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;1856.00;f_0.4;0;10003.87;1.02;0.00;1134.68;car_0;;3;1044.00
3091.00;E5_0;300.00;11.85;563.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.5;2528.00;f_0.5;0;10003.87;0.92;0.00;1739.62;car_0;;4;1647.00
3093.00;E5_0;300.00;13.26;675.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2418.00;f_0.6;0;10003.87;1.02;0.00;1695.96;car_0;;4;1535.00
3095.00;E5_0;300.00;12.21;788.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.7;2307.00;f_0.7;0;10003.87;0.94;0.00;1541.65;car_0;;2;1432.00
3841.00;E5_0;300.00;13.10;900.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2941.00;f_0.8;0;10003.87;0.97;0.00;2195.63;car_0;;4;2106.00
3862.00;E5_0;300.00;12.31;1013.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.9;2849.00;f_0.9;0;10003.87;0.93;0.00;2071.14;car_0;;4;1977.00
3864.00;E5_0;300.00;12.81;1125.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;2739.00;f_0.10;0;10003.87;1.05;0.00;2016.84;car_0;;4;1865.00
3866.00;E5_0;300.00;13.53;1238.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.11;2628.00;f_0.11;0;10003.87;1.01;0.00;1905.59;car_0;;5;1749.00
3868.00;E5_0;300.00;13.50;1350.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;2518.00;f_0.12;0;10003.87;1.02;0.00;1795.58;car_0;;6;1634.00
4601.00;E5_0;300.00;13.04;1463.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.13;3138.00;f_0.13;0;10003.87;1.06;0.00;2416.13;car_0;;5;2290.00
4604.00;E5_0;300.00;12.76;1575.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;3029.00;f_0.14;0;10003.87;1.00;0.00;2304.47;car_0;;6;2202.00
4620.00;E5_0;300.00;13.34;1688.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.15;2932.00;f_0.15;0;10003.87;0.96;0.00;2182.59;car_0;;4;2085.00
4631.00;E5_0;300.00;13.00;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;2831.00;f_0.16;0;10003.87;0.94;0.00;2062.41;car_0;;3;1964.00
5383.00;E5_0;300.00;12.26;1913.00;0.50;E0_0;7.20;0.00;tripinfo_f_0.17;3470.00;f_0.17;0;10003.87;0.97;0.00;2726.07;car_0;;7;2618.00
