tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1518.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1518.00;f_0.0;0;10003.87;1.03;0.00;796.31;car_0;;1;736.00
2300.00;E5_0;300.00;13.28;75.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;2225.00;f_0.1;0;10003.87;0.97;0.00;1479.94;car_0;;3;1402.00
2302.00;E5_0;300.00;13.15;150.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;2152.00;f_0.2;0;10003.87;1.01;0.00;1429.69;car_0;;2;1326.00
2304.00;E5_0;300.00;12.95;225.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;2079.00;f_0.3;0;10003.87;1.04;0.00;1356.64;car_0;;2;1251.00
2306.00;E5_0;300.00;13.28;300.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;2006.00;f_0.4;0;10003.87;1.02;0.00;1284.03;car_0;;2;1178.00
3093.00;E5_0;300.00;12.69;375.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2718.00;f_0.5;0;10003.87;0.92;0.00;1929.45;car_0;;3;1835.00
3095.00;E5_0;300.00;13.26;450.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;2645.00;f_0.6;0;10003.87;1.02;0.00;1923.40;car_0;;4;1766.00
3097.00;E5_0;300.00;12.36;525.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2572.00;f_0.7;0;10003.87;0.94;0.00;1806.08;car_0;;4;1684.00
3099.00;E5_0;300.00;12.46;600.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;2499.00;f_0.8;0;10003.87;0.97;0.00;1753.89;car_0;;4;1614.00
5666.00;E5_0;300.00;12.56;675.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;4991.00;f_0.9;0;10002.27;0.93;0.00;4400.16;car_0;;8;4299.00
7672.00;E5_0;300.00;13.10;750.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.10;6922.00;f_0.10;0;10002.27;1.05;0.00;6373.35;car_0;;7;6219.00
9679.00;E5_0;300.00;12.72;825.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.11;8854.00;f_0.11;0;10002.27;1.01;0.00;8305.10;car_0;;8;8162.00
11686.00;E5_0;300.00;13.48;900.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.12;10786.00;f_0.12;0;10002.27;1.02;0.00;10237.25;car_0;;10;10083.00
13692.00;E5_0;300.00;12.88;975.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.13;12717.00;f_0.13;0;10002.27;1.06;0.00;12167.97;car_0;;11;12034.00
15698.00;E5_0;300.00;13.39;1050.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.14;14648.00;f_0.14;0;10002.27;1.00;0.00;14096.41;car_0;;12;13957.00
17704.00;E5_0;300.00;12.72;1125.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.15;16579.00;f_0.15;0;10002.27;0.96;0.00;16010.39;car_0;;14;15867.00
21716.00;E5_0;300.00;11.83;1200.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.16;20516.00;f_0.16;0;10002.27;0.94;0.00;19932.62;car_0;;20;19775.00
23724.00;E5_0;300.00;13.36;1350.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.18;22374.00;f_0.18;0;9999.07;0.97;0.00;21607.86;car_0;;23;21456.00
25731.00;E5_0;300.00;12.45;1275.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.17;24456.00;f_0.17;0;10000.67;0.97;0.00;24042.05;car_0;;26;23877.00
29745.00;E5_0;300.00;13.55;1425.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.19;28320.00;f_0.19;0;10000.67;1.08;0.00;27918.88;car_0;;27;27732.00
31754.00;E5_0;300.00;12.79;2925.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.39;28829.00;f_0.39;0;9999.07;0.95;0.00;24184.81;car_0;;33;23985.00
33759.00;E5_0;300.00;12.64;1500.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.20;32259.00;f_0.20;0;10000.67;1.01;0.00;31858.13;car_0;;32;31649.00
35766.00;E5_0;300.00;13.79;1575.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.21;34191.00;f_0.21;0;10000.67;1.01;0.00;33789.35;car_0;;31;33590.00
41785.00;E5_0;300.00;13.13;1650.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.22;40135.00;f_0.22;0;10000.67;0.99;0.00;39727.49;car_0;;38;39501.00
43794.00;E5_0;300.00;11.91;1725.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.23;42069.00;f_0.23;0;10000.67;0.94;0.00;41642.83;car_0;;40;41404.00
45797.00;E5_0;300.00;12.57;1875.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.25;43922.00;f_0.25;0;10000.67;0.94;0.00;43497.37;car_0;;37;43235.00
45801.00;E5_0;300.00;12.50;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.24;44001.00;f_0.24;0;10000.67;0.91;0.00;43560.48;car_0;;39;43303.00
47808.00;E5_0;300.00;12.04;1950.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.26;45858.00;f_0.26;0;10000.67;0.96;0.00;45439.71;car_0;;42;45165.00
49813.00;E5_0;300.00;13.47;2025.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.27;47788.00;f_0.27;0;10000.67;0.97;0.00;47377.01;car_0;;53;47103.00
