tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;798.12;car_0;;1;736.00
2299.00;E5_0;300.00;13.46;360.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.1;1939.00;f_0.1;0;10003.87;0.97;0.00;1194.07;car_0;;2;1111.00
2301.00;E5_0;300.00;13.04;720.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.2;1581.00;f_0.2;0;10003.87;1.01;0.00;859.10;car_0;;2;754.00
2303.00;E5_0;300.00;13.66;1080.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.3;1223.00;f_0.3;0;10003.87;1.04;0.00;500.99;car_0;;1;425.00
2305.00;E5_0;300.00;13.39;1440.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.4;865.00;f_0.4;0;10003.87;1.02;0.00;143.43;car_0;;1;69.00
3864.00;E5_0;300.00;11.53;1800.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.5;2064.00;f_0.5;0;10003.87;0.92;0.00;1276.20;car_0;;2;1197.00
3866.00;E5_0;300.00;13.69;2160.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.6;1706.00;f_0.6;0;10003.87;1.02;0.00;983.87;car_0;;2;836.00
4619.00;E5_0;300.00;12.59;2520.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.7;2099.00;f_0.7;0;10003.87;0.94;0.00;1333.50;car_0;;3;1256.00
4621.00;E5_0;300.00;12.76;2880.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.8;1741.00;f_0.8;0;10003.87;0.97;0.00;996.40;car_0;;2;896.00
5396.00;E5_0;300.00;11.88;3240.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.9;2156.00;f_0.9;0;10003.87;0.93;0.00;1378.86;car_0;;2;1299.00
